Show,Organization,Venue,Start,End,Email,Email Source,Address,City,State,Postal,Country,Website,Phone,Facebook,Instagram,Licensor/Source,Source URL,Date Type,Venue Type,First Seen
Anastasia: The Musical,Center Stage,Center Stage,2026-08-28,2026-09-27,info@ovationwest.org,Production,"27608 Fireweed Drive, Evergreen, CO",Evergreen,CO,,US,https://www.ovationwest.org/center-stage,(555) 555-5555,https://facebook.com/,https://instagram.com/ovationwest,CONCORD,https://www.concordtheatricals.com/p/92098/anastasia-the-musical,extended run,Amateur,2026-08-18
The Wizard of Oz: Youth Edition,Courtyard Theatre,Courtyard Theatre,2026-08-28,2026-08-30,markth@plano.gov,Production,"1509 H Ave, Plano, TX",Plano,TX,,US,https://www.visitplano.com/find-a-venue/courtyard-theater/,972-941-5600,https://www.facebook.com/visitplano,https://www.instagram.com/visitplano/,CONCORD,https://www.concordtheatricals.com/p/65770/the-wizard-of-oz-youth-edition,performance run,Amateur,2026-08-18
Next To Normal,Cs Productions Llc,Lineage Performing Arts Center,2026-08-28,2026-08-30,info@lineagepac.org,Production,"920 E Mountain St, Pasadena, CA 91104",Pasadena,CA,91104,US,http://lineagepac.org,6268447008,https://www.facebook.com/lineagepac,https://www.instagram.com/lineagepac/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Dear Evan Hansen,Dmr Adventures,Belmont Arts Collaborative,2026-08-28,2026-09-19,info@belmontarts.org,Production,"221 Carlton Rd, Suite 3, Charlottesville, VA 22902",Charlottesville,VA,22902,US,http://www.belmontarts.org,4342274710,https://www.facebook.com/belmontartscollaborative/,https://www.instagram.com/belmontartscollaborative/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
On Golden Pond,Eagle Theatre,Eagle Theatre,2026-08-28,2026-09-06,info@pgatsh.com,Production,"5029 West Broad Street, Sugar Hill, GA",Sugar Hill,GA,,US,http://www.eagleatsugarhill.com,(770) 945-6929,,,CONCORD,https://www.concordtheatricals.com/p/13944/on-golden-pond,performance run,Amateur,2026-08-18
Peter And The Starcatcher,Gretna High School,Ghs Black Box Theatre,2026-08-28,2026-08-30,office@gpsne.org,Production,"11335 S 204th St, Gretna, NE 68028",Gretna,NE,68028,US,http://ghs.gpsne.org,(402) 332-3936,https://www.facebook.com/profile.php,https://www.instagram.com/gretnahigh37/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Sweeney Todd,Hackmatack Playhouse,Hackmatack Playhouse,2026-08-28,2026-09-13,boxoffice@hackmatack.org,Production,"538 School Street, Berwick, ME 03901",Berwick,ME,3901,US,http://www.hackmatack.org,(207) 698-1807,https://www.facebook.com/hackmatackplayhouse/,https://www.instagram.com/hackmatackplayhouse/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's Lion King Kids,Harborside Productions Amateur,Harborside Productions,2026-08-28,2026-08-28,contact@engemantheater.com,Production,"250 Main Street, Northport, NY 11768",Northport,NY,11768,US,http://www.engemantheater.com,(631) 261-2900,https://www.facebook.com/engemantheater/,https://www.instagram.com/engemantheater/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
"You're A Good Man, Charlie Brown (Revised)",Iberia Performing Arts League Inc,Iberia Performing Arts League,2026-08-28,2026-09-06,ipaltheater@gmail.com,Production,"126 Iberia St, New Iberia, LA",New Iberia,LA,,US,http://www.ipaltheater.com/,(337) 321-0696,https://m.facebook.com/IPAL-Iberia-Performing-Arts-League-Site-154935504620932/,https://www.instagram.com/ipal_theatre/,CONCORD,https://www.concordtheatricals.com/p/65775/you-re-a-good-man-charlie-brown-revised,performance run,Amateur,2026-08-18
James And The Giant Peach Jr.,Kiss Theatre Company,Kiss Theatre Company,2026-08-28,2026-08-30,info@kisstheatre.org,Production,"400 East End Centre, Wilkes Barre, PA 18702",Wilkes Barre,PA,18702,US,http://www.kisstheatre.org,570-829-1901,https://www.facebook.com/kisstheatreco,http://instagram.com/kisstheatreco,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
